gauge_id,aquitard_perc,aquifer_perc,aquifer_aquitard_mixed_perc,kf_very_high_perc,kf_high_perc,kf_medium_perc,kf_moderate_perc,kf_low_perc,kf_very_low_perc,kf_extremely_low_perc,kf_very_high_to_high_perc,kf_medium_to_moderate_perc,kf_low_to_extremely_low_perc,kf_highly_variable_perc,kf_moderate_to_low_perc,cavity_fissure_perc,cavity_pores_perc,cavity_fissure_karst_perc,cavity_fissure_pores_perc,rocktype_sediment_perc,rocktype_metamorphite_perc,rocktype_magmatite_perc,consolidation_solid_rock_perc,consolidation_unconsolidated_rock_perc,geochemical_rocktype_silicate_perc,geochemical_rocktype_silicate_carbonatic_perc,geochemical_rocktype_carbonatic_perc,geochemical_rocktype_sulfatic_perc,geochemical_rocktype_silicate_organic_components_perc,geochemical_rocktype_anthropogenically_modified_through_filling_perc,geochemical_rocktype_sulfatic_halitic_perc,geochemical_rocktype_halitic_perc,waterbody_perc,no_data_perc
DE110000,67.06,8.8,24.14,0.0,0.12,1.49,6.4,27.96,18.24,4.2,0.0,0.8,16.66,0.0,24.14,68.61,10.77,20.62,0.0,73.32,18.24,8.44,89.23,10.77,47.52,31.63,16.44,4.42,0.0,0.0,0.0,0.0,0.0,0.0
DE110010,64.11,9.94,25.95,0.0,0.11,1.85,5.88,26.2,16.74,3.85,0.0,2.11,17.31,0.0,25.95,65.05,10.86,24.09,0.0,75.49,16.74,7.77,89.14,10.86,43.68,32.01,20.26,4.05,0.0,0.0,0.0,0.0,0.0,0.0
DE110020,32.41,44.61,22.98,0.0,5.46,1.74,4.92,15.07,5.32,2.26,0.0,32.48,9.76,0.0,22.98,27.79,19.88,49.72,2.61,92.22,5.32,2.47,79.2,20.8,13.94,32.14,52.63,1.29,0.0,0.0,0.0,0.0,0.0,0.0
DE110030,25.3,52.08,22.62,0.0,12.2,1.11,5.58,13.42,3.41,1.45,0.0,33.2,7.02,0.0,22.62,17.86,29.69,47.86,4.59,95.0,3.4,1.6,69.28,30.72,8.95,34.19,56.03,0.82,0.0,0.0,0.0,0.0,0.0,0.0
DE110040,22.35,72.09,5.56,0.0,72.09,0.0,0.0,0.02,0.0,0.0,0.0,0.0,22.33,0.0,5.56,0.0,99.77,0.0,0.23,100.0,0.0,0.0,0.02,99.98,0.0,87.78,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110060,9.14,38.22,52.64,0.0,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,0.0,52.64,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,64.02,35.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110080,25.76,67.93,6.31,0.0,0.0,0.0,0.0,25.17,0.0,0.0,0.0,67.93,0.59,0.0,6.31,0.0,6.95,90.57,2.48,100.0,0.0,0.0,93.05,6.95,0.05,9.38,90.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110090,15.11,71.86,13.03,0.0,0.0,1.7,0.0,15.11,0.0,0.0,0.0,70.15,0.0,0.0,13.03,6.23,1.75,92.02,0.0,100.0,0.0,0.0,98.25,1.75,0.0,7.93,92.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110100,54.91,22.21,22.88,0.0,0.07,2.25,4.09,21.37,10.62,4.51,0.0,15.81,18.41,0.0,22.88,53.32,8.81,37.87,0.0,84.46,10.62,4.92,91.19,8.81,27.71,34.24,35.48,2.57,0.0,0.0,0.0,0.0,0.0,0.0
DE110120,16.02,47.58,36.4,0.0,47.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,0.0,36.4,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,54.64,45.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110130,9.32,81.69,8.98,0.0,81.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,0.0,8.98,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,86.72,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110140,74.51,1.96,23.53,0.0,0.0,0.0,0.0,7.01,0.0,24.2,0.0,1.96,43.3,0.0,23.53,74.51,0.0,25.49,0.0,100.0,0.0,0.0,100.0,0.0,0.0,74.51,25.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
