gauge_id,q_mean,runoff_ratio,flow_period_start,flow_period_end,flow_perc_complete,slope_fdc,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
DE110000,1.46,0.49,1951-01-01,2020-12-31,98.072,2.08,151.33,0.28,4.48,3.83,2.07,22.7,6.84,0.0
DE110010,0.67,0.23,1951-01-01,2020-12-31,98.24000000000001,2.59,145.16,0.0,2.89,37.71,6.27,170.48,31.39,0.39
DE110020,0.84,0.33,1951-01-01,2020-12-31,100.0,2.21,161.39,0.19,2.41,1.99,2.45,8.39,6.81,0.0
DE110030,0.84,0.34,1951-01-01,2020-12-31,100.0,1.72,166.16,0.26,2.13,0.33,1.92,0.91,9.0,0.0
DE110040,1.04,0.4,1951-01-01,2020-12-31,100.0,0.86,178.06,0.55,2.19,0.43,1.11,0.04,1.0,0.0
DE110060,1.53,0.44,1951-01-01,2020-12-31,100.0,1.59,181.35,0.51,3.83,0.12,1.14,1.42,4.45,0.0
DE110080,0.11,0.05,1973-12-01,2020-12-31,67.24,2.46,188.24,0.01,0.37,6.37,13.32,59.74,20.98,0.0
DE110090,0.91,0.35,1966-11-01,2020-12-31,76.901,1.6,177.06,0.28,2.08,0.27,2.33,1.69,3.03,0.0
DE110100,0.84,0.3,1972-11-01,2020-12-31,68.809,4.16,144.91,0.05,3.11,14.55,3.89,105.68,13.25,0.0
DE110120,0.97,0.37,1973-11-01,2020-12-31,67.381,0.75,178.54,0.57,1.91,0.5,1.21,105.68,13.25,0.0
DE110130,1.31,0.46,1960-11-01,2020-12-31,85.951,0.81,178.15,0.66,2.97,0.36,1.11,0.03,2.0,0.0
DE110140,0.94,0.39,1957-11-01,2020-12-31,90.238,2.46,164.16,0.15,2.88,2.94,1.78,33.08,8.01,0.0
DE110150,0.9,0.31,1973-11-01,2020-12-31,67.13900000000001,5.9,139.31,0.01,3.47,32.6,5.6,164.09,26.28,0.04
DE110160,0.82,0.31,1973-11-01,2020-12-31,66.352,2.33,164.68,0.12,2.29,1.2,2.79,35.64,13.07,0.0
DE110170,0.55,0.28,1957-11-01,2020-12-31,90.238,1.79,178.42,0.17,1.31,0.58,1.71,4.71,13.27,0.0
DE110180,0.61,0.31,1968-11-01,2020-12-31,74.515,2.25,166.63,0.15,1.67,1.55,2.08,8.63,5.43,0.0
DE110190,0.66,0.33,1958-07-01,2020-12-31,89.28,2.65,150.19,0.08,2.3,13.71,2.44,60.4,8.12,0.0
DE110200,0.54,0.28,1975-11-01,2020-12-31,64.522,2.17,155.75,0.11,1.57,5.11,2.12,17.23,5.97,0.0
DE110210,0.68,0.34,1983-02-01,2020-12-31,54.165,1.67,164.84,0.22,1.67,1.59,1.48,0.03,1.0,0.0
DE110220,2.45,0.58,1995-11-01,2020-12-31,35.955,2.36,161.17,0.39,8.52,11.46,1.58,40.54,6.01,0.0
DE110250,2.55,0.7,1951-01-01,2020-12-31,100.0,2.01,158.99,0.51,7.54,2.3,2.48,18.43,6.49,0.0
DE110260,1.53,0.49,1951-01-01,2020-12-31,99.738,2.64,141.56,0.23,5.13,10.63,2.66,40.54,7.95,0.0
DE110270,3.48,0.73,1951-01-01,2010-10-31,83.92500000000001,2.53,154.81,0.47,11.72,7.03,2.3,46.19,7.7,0.0
