gauge_id,provider_id,gauge_name,water_body_name,federal_state,gauge_lat,gauge_lon,gauge_easting,gauge_northing,gauge_elev_metadata,area_metadata,gauge_elev,area,elev_mean,elev_min,elev_5,elev_50,elev_95,elev_max
DE110000,105,Kirchen-Hausen,Donau,Baden-Württemberg,47.925507,8.679586,4222273.0,2757760.0,657.33,758.53,661.99,763.07,822.25,658.53,681.92,792.26,1037.07,1159.79
DE110010,106,Möhringen,Donau,Baden-Württemberg,47.948961,8.760112,4228335.0,2760262.0,649.16,826.96,650.84,831.29,820.25,649.94,680.98,792.74,1033.22,1159.79
DE110020,120,Hundersingen,Donau,Baden-Württemberg,48.072462,9.3961,4275974.0,2773394.0,542.53,2621.32,546.44,2618.6,774.9,541.59,621.95,765.67,962.75,1159.79
DE110030,125,Berg,Donau,Baden-Württemberg,48.26627,9.731457,4301054.0,2794786.0,489.9,4072.79,493.75,4093.96,729.47,488.79,555.29,726.97,933.64,1159.79
DE110040,129,Achstetten,Baierzer Rot,Baden-Württemberg,48.26344,9.900817,4313632.0,2794440.0,489.32,264.39,491.35,272.81,628.93,490.26,524.48,626.6,733.95,791.11
DE110060,144,Lauben,Aitrach,Baden-Württemberg,47.876606,10.037603,4323814.0,2751445.0,623.49,308.45,627.32,308.99,733.07,623.51,645.34,693.25,988.79,1143.99
DE110080,151,Burgberg-Oberer Steg,Hürbe,Baden-Württemberg,48.58296,10.227086,4337760.0,2829976.0,450.76,321.38,451.33,313.81,595.99,450.43,509.57,590.54,682.54,745.24
DE110090,162,Gammertingen,Lauchert,Baden-Württemberg,48.244097,9.224155,4263350.0,2792588.0,654.3,168.88,656.13,155.99,775.18,654.52,707.69,775.98,843.27,922.96
DE110100,168,Beuron,Donau,Baden-Württemberg,48.052942,8.974535,4244515.0,2771571.0,604.6,1310.38,612.63,1311.26,817.66,605.84,677.0,800.15,1007.43,1159.79
DE110120,173,Ummendorf,Umlach,Baden-Württemberg,48.074521,9.818366,4307458.0,2773455.0,534.88,87.89,539.43,94.54,644.64,536.59,568.87,645.2,718.32,787.96
DE110130,177,Binnrot,Rot,Baden-Württemberg,48.067066,10.048512,4324617.0,2772611.0,566.15,129.15,569.73,131.66,677.49,566.91,594.77,680.81,742.86,791.11
DE110140,192,Tuttlingen,Elta,Baden-Württemberg,47.988378,8.795632,4231059.0,2764598.0,646.2,80.65,649.45,83.59,780.36,648.11,676.66,757.89,932.84,1001.93
DE110150,194,Möhringen-Espenbrücke,Donau,Baden-Württemberg,47.9586,8.776617,4229586.0,2761313.0,644.6,862.6,644.75,868.84,819.3,644.75,680.64,793.17,1031.14,1159.79
DE110160,196,Mägerkingen,Lauchert,Baden-Württemberg,48.29404,9.197258,4261410.0,2798160.0,678.98,91.7,681.65,90.88,788.48,679.56,722.82,789.5,856.27,922.96
DE110170,205,Königheim,Brehmbach,Baden-Württemberg,49.615623,9.623949,4293819.0,2944833.0,203.91,59.14,206.67,59.36,344.23,205.08,259.13,349.38,406.87,458.01
DE110180,207,Sachsenflur,Umpfer,Baden-Württemberg,49.525241,9.70704,4299786.0,2934755.0,203.53,109.67,207.91,108.53,339.53,204.29,246.55,349.07,400.0,437.31
DE110190,211,Archshofen,Tauber,Baden-Württemberg,49.453826,10.070477,4326110.0,2926774.0,277.89,285.89,280.47,284.73,431.77,279.92,379.54,429.67,489.62,564.68
DE110200,212,Bad Mergentheim,Tauber,Baden-Württemberg,49.498419,9.767891,4304183.0,2931757.0,196.61,1017.0,203.42,1023.82,381.7,199.3,281.44,383.91,473.37,564.68
DE110210,226,Hardheim,Erfa,Baden-Württemberg,49.617222,9.449523,4281214.0,2945091.0,246.73,105.72,251.61,104.65,375.83,248.59,302.19,379.61,431.43,477.95
DE110220,311,Lochhammer,Gießbach,Baden-Württemberg,47.684279,9.900031,4313489.0,2730078.0,582.51,29.77,588.3,29.39,669.58,583.0,614.62,672.45,714.69,763.95
